"Step","3i_350M_DeepSup - Train/cum_loss","3i_350M_DeepSup - Train/cum_loss__MIN","3i_350M_DeepSup - Train/cum_loss__MAX"
"0","10.750580787658691","10.750580787658691","10.750580787658691"
"1500","3.7364258766174316","3.7364258766174316","3.7364258766174316"
"3000","2.81282639503479","2.81282639503479","2.81282639503479"
"4500","2.544705390930176","2.544705390930176","2.544705390930176"
"6000","2.42934250831604","2.42934250831604","2.42934250831604"
"7500","2.3762598037719727","2.3762598037719727","2.3762598037719727"
"9000","2.3503575325012207","2.3503575325012207","2.3503575325012207"
"10500","2.2642006874084473","2.2642006874084473","2.2642006874084473"
"12000","2.2547073364257812","2.2547073364257812","2.2547073364257812"
"13500","2.2374541759490967","2.2374541759490967","2.2374541759490967"
"15000","2.2133705615997314","2.2133705615997314","2.2133705615997314"
"16500","2.200368881225586","2.200368881225586","2.200368881225586"
"18000","2.2143890857696533","2.2143890857696533","2.2143890857696533"
"19500","2.202838182449341","2.202838182449341","2.202838182449341"
"21000","2.1841351985931396","2.1841351985931396","2.1841351985931396"
"22500","2.186415195465088","2.186415195465088","2.186415195465088"
"24000","2.1476495265960693","2.1476495265960693","2.1476495265960693"
"25500","2.16717267036438","2.16717267036438","2.16717267036438"
"27000","2.1521248817443848","2.1521248817443848","2.1521248817443848"
"28500","2.119065284729004","2.119065284729004","2.119065284729004"
"30000","2.1477012634277344","2.1477012634277344","2.1477012634277344"
"31500","2.1258041858673096","2.1258041858673096","2.1258041858673096"
"33000","2.1359176635742188","2.1359176635742188","2.1359176635742188"
"34500","2.1183388233184814","2.1183388233184814","2.1183388233184814"
"36000","2.137850284576416","2.137850284576416","2.137850284576416"
"37500","2.1126136779785156","2.1126136779785156","2.1126136779785156"
"39000","2.1331610679626465","2.1331610679626465","2.1331610679626465"
"40500","2.145817518234253","2.145817518234253","2.145817518234253"
"42000","2.0886683464050293","2.0886683464050293","2.0886683464050293"
"43500","2.087998867034912","2.087998867034912","2.087998867034912"
"45000","2.096634864807129","2.096634864807129","2.096634864807129"
"46500","2.112722158432007","2.112722158432007","2.112722158432007"
"48000","2.1016016006469727","2.1016016006469727","2.1016016006469727"
"49500","2.1035003662109375","2.1035003662109375","2.1035003662109375"
"51000","2.072632312774658","2.072632312774658","2.072632312774658"
"52500","2.0977721214294434","2.0977721214294434","2.0977721214294434"
"54000","2.09727144241333","2.09727144241333","2.09727144241333"
"55500","2.1101295948028564","2.1101295948028564","2.1101295948028564"
"57000","2.0588603019714355","2.0588603019714355","2.0588603019714355"
"58500","2.0857889652252197","2.0857889652252197","2.0857889652252197"
"61500","2.0900869369506836","2.0900869369506836","2.0900869369506836"
"63000","2.0651392936706543","2.0651392936706543","2.0651392936706543"
"64500","2.11086106300354","2.11086106300354","2.11086106300354"
"66000","2.0611655712127686","2.0611655712127686","2.0611655712127686"
"67500","2.0670006275177","2.0670006275177","2.0670006275177"
"69000","2.0922296047210693","2.0922296047210693","2.0922296047210693"
"70500","2.10868763923645","2.10868763923645","2.10868763923645"
"72000","2.0493953227996826","2.0493953227996826","2.0493953227996826"
"73500","2.053870916366577","2.053870916366577","2.053870916366577"
"75000","2.06492018699646","2.06492018699646","2.06492018699646"
"76500","2.0462381839752197","2.0462381839752197","2.0462381839752197"
"78000","2.042081832885742","2.042081832885742","2.042081832885742"
"79500","2.0739352703094482","2.0739352703094482","2.0739352703094482"
"81000","2.0767648220062256","2.0767648220062256","2.0767648220062256"
"82500","2.04248046875","2.04248046875","2.04248046875"
"84000","2.077648878097534","2.077648878097534","2.077648878097534"
"85500","2.0589301586151123","2.0589301586151123","2.0589301586151123"
"87000","2.063936471939087","2.063936471939087","2.063936471939087"
"88500","2.080730438232422","2.080730438232422","2.080730438232422"
"90000","2.0662124156951904","2.0662124156951904","2.0662124156951904"
"91500","2.0527396202087402","2.0527396202087402","2.0527396202087402"
"93000","2.064969062805176","2.064969062805176","2.064969062805176"
"94500","2.073989152908325","2.073989152908325","2.073989152908325"
"96000","2.0733044147491455","2.0733044147491455","2.0733044147491455"
"97500","2.036226511001587","2.036226511001587","2.036226511001587"
"99000","2.0618457794189453","2.0618457794189453","2.0618457794189453"
"100500","2.0816001892089844","2.0816001892089844","2.0816001892089844"
"102000","2.011051893234253","2.011051893234253","2.011051893234253"
"103500","2.0536019802093506","2.0536019802093506","2.0536019802093506"
"105000","2.0398991107940674","2.0398991107940674","2.0398991107940674"
"106500","2.021306276321411","2.021306276321411","2.021306276321411"
"108000","2.0185673236846924","2.0185673236846924","2.0185673236846924"
"109500","2.050171375274658","2.050171375274658","2.050171375274658"
"111000","2.0570645332336426","2.0570645332336426","2.0570645332336426"
"112500","2.0263190269470215","2.0263190269470215","2.0263190269470215"
"114000","2.061291456222534","2.061291456222534","2.061291456222534"
"115500","2.0431275367736816","2.0431275367736816","2.0431275367736816"
"117000","2.0484771728515625","2.0484771728515625","2.0484771728515625"
"118500","2.065462827682495","2.065462827682495","2.065462827682495"
"120000","2.0516862869262695","2.0516862869262695","2.0516862869262695"
"121500","2.0451672077178955","2.0451672077178955","2.0451672077178955"
"123000","2.056696891784668","2.056696891784668","2.056696891784668"
"124500","2.0677969455718994","2.0677969455718994","2.0677969455718994"
"126000","2.06807279586792","2.06807279586792","2.06807279586792"
"127500","2.0222489833831787","2.0222489833831787","2.0222489833831787"
"129000","2.0629708766937256","2.0629708766937256","2.0629708766937256"
"130500","2.072361469268799","2.072361469268799","2.072361469268799"
"132000","2.041487216949463","2.041487216949463","2.041487216949463"
"133500","2.0898072719573975","2.0898072719573975","2.0898072719573975"
"135000","2.1067097187042236","2.1067097187042236","2.1067097187042236"
"136500","2.0782341957092285","2.0782341957092285","2.0782341957092285"
"138000","2.0574300289154053","2.0574300289154053","2.0574300289154053"
"139500","2.07767915725708","2.07767915725708","2.07767915725708"
"141000","2.071485757827759","2.071485757827759","2.071485757827759"
"142500","2.094703197479248","2.094703197479248","2.094703197479248"
"144000","2.057791233062744","2.057791233062744","2.057791233062744"
"145500","2.071869373321533","2.071869373321533","2.071869373321533"
"147000","2.076387882232666","2.076387882232666","2.076387882232666"
"148500","2.061110496520996","2.061110496520996","2.061110496520996"
"150000","2.066546678543091","2.066546678543091","2.066546678543091"
"151500","2.0496742725372314","2.0496742725372314","2.0496742725372314"
"153000","2.0642266273498535","2.0642266273498535","2.0642266273498535"
"154500","2.0567281246185303","2.0567281246185303","2.0567281246185303"
"156000","2.0484416484832764","2.0484416484832764","2.0484416484832764"
"157500","2.0600028038024902","2.0600028038024902","2.0600028038024902"
"159000","2.074648380279541","2.074648380279541","2.074648380279541"
"160500","2.043259382247925","2.043259382247925","2.043259382247925"
"162000","2.0642478466033936","2.0642478466033936","2.0642478466033936"
"163500","2.065667152404785","2.065667152404785","2.065667152404785"
"165000","2.0529069900512695","2.0529069900512695","2.0529069900512695"
"166500","2.0919189453125","2.0919189453125","2.0919189453125"
"168000","2.0721065998077393","2.0721065998077393","2.0721065998077393"
"169500","2.0565719604492188","2.0565719604492188","2.0565719604492188"
"171000","2.0510003566741943","2.0510003566741943","2.0510003566741943"
"172500","2.01509165763855","2.01509165763855","2.01509165763855"
"174000","2.0515472888946533","2.0515472888946533","2.0515472888946533"
"175500","2.0340332984924316","2.0340332984924316","2.0340332984924316"
"177000","2.0394914150238037","2.0394914150238037","2.0394914150238037"
"178500","2.0577552318573","2.0577552318573","2.0577552318573"
"180000","2.0442733764648438","2.0442733764648438","2.0442733764648438"
"181500","2.0343194007873535","2.0343194007873535","2.0343194007873535"
"183000","2.0468266010284424","2.0468266010284424","2.0468266010284424"
"184500","2.0591976642608643","2.0591976642608643","2.0591976642608643"
"186000","2.059990882873535","2.059990882873535","2.059990882873535"
"187500","2.0146427154541016","2.0146427154541016","2.0146427154541016"
"189000","2.0546772480010986","2.0546772480010986","2.0546772480010986"
"190500","2.064094305038452","2.064094305038452","2.064094305038452"
"192000","2.0328712463378906","2.0328712463378906","2.0328712463378906"
"193500","2.0805366039276123","2.0805366039276123","2.0805366039276123"
"195000","2.0988271236419678","2.0988271236419678","2.0988271236419678"
"196500","2.0700292587280273","2.0700292587280273","2.0700292587280273"
"198000","2.0498592853546143","2.0498592853546143","2.0498592853546143"
"199500","2.0700020790100098","2.0700020790100098","2.0700020790100098"
"201000","2.064577341079712","2.064577341079712","2.064577341079712"
"202500","2.0875661373138428","2.0875661373138428","2.0875661373138428"
"204000","2.050597906112671","2.050597906112671","2.050597906112671"
"205500","2.0650196075439453","2.0650196075439453","2.0650196075439453"
"207000","2.0708537101745605","2.0708537101745605","2.0708537101745605"
"208500","2.0554730892181396","2.0554730892181396","2.0554730892181396"
"210000","2.0610499382019043","2.0610499382019043","2.0610499382019043"
"211500","2.0448429584503174","2.0448429584503174","2.0448429584503174"
"213000","2.059753179550171","2.059753179550171","2.059753179550171"
"214500","2.052647352218628","2.052647352218628","2.052647352218628"
"216000","2.04508638381958","2.04508638381958","2.04508638381958"
"217500","2.0569498538970947","2.0569498538970947","2.0569498538970947"
"219000","2.0720772743225098","2.0720772743225098","2.0720772743225098"
"220500","2.04358172416687","2.04358172416687","2.04358172416687"
"222000","2.0676019191741943","2.0676019191741943","2.0676019191741943"
"223500","2.068923234939575","2.068923234939575","2.068923234939575"
"225000","2.0564138889312744","2.0564138889312744","2.0564138889312744"
"226500","2.0959484577178955","2.0959484577178955","2.0959484577178955"
"228000","2.075073719024658","2.075073719024658","2.075073719024658"
"229500","2.0598933696746826","2.0598933696746826","2.0598933696746826"
"231000","2.051377296447754","2.051377296447754","2.051377296447754"
"232500","2.0150692462921143","2.0150692462921143","2.0150692462921143"
"234000","2.051663875579834","2.051663875579834","2.051663875579834"
"235500","2.0338504314422607","2.0338504314422607","2.0338504314422607"
"237000","2.0399341583251953","2.0399341583251953","2.0399341583251953"
"238500","2.057859182357788","2.057859182357788","2.057859182357788"
"240000","2.044606924057007","2.044606924057007","2.044606924057007"
"241500","2.034104824066162","2.034104824066162","2.034104824066162"
"243000","2.0462727546691895","2.0462727546691895","2.0462727546691895"
"244500","2.059130907058716","2.059130907058716","2.059130907058716"
"246000","2.0597150325775146","2.0597150325775146","2.0597150325775146"
"247500","2.0143978595733643","2.0143978595733643","2.0143978595733643"
"249000","2.0551183223724365","2.0551183223724365","2.0551183223724365"
"250500","2.0640902519226074","2.0640902519226074","2.0640902519226074"
"252000","2.0328543186187744","2.0328543186187744","2.0328543186187744"
"253500","2.059488296508789","2.059488296508789","2.059488296508789"
"256500","2.0291309356689453","2.0291309356689453","2.0291309356689453"
"258000","2.026883363723755","2.026883363723755","2.026883363723755"
"259500","2.057793378829956","2.057793378829956","2.057793378829956"
"261000","2.0484325885772705","2.0484325885772705","2.0484325885772705"
"262500","2.0119473934173584","2.0119473934173584","2.0119473934173584"
"264000","2.0489578247070312","2.0489578247070312","2.0489578247070312"
"265500","2.0311970710754395","2.0311970710754395","2.0311970710754395"
"267000","2.037247657775879","2.037247657775879","2.037247657775879"
"268500","2.0555129051208496","2.0555129051208496","2.0555129051208496"
"270000","2.0421714782714844","2.0421714782714844","2.0421714782714844"
"271500","2.0312325954437256","2.0312325954437256","2.0312325954437256"
"273000","2.043596029281616","2.043596029281616","2.043596029281616"
"274500","2.0563066005706787","2.0563066005706787","2.0563066005706787"
"276000","2.057006597518921","2.057006597518921","2.057006597518921"
"277500","2.011523723602295","2.011523723602295","2.011523723602295"
"279000","2.052199125289917","2.052199125289917","2.052199125289917"
"280500","2.063565254211426","2.063565254211426","2.063565254211426"
"282000","2.0355031490325928","2.0355031490325928","2.0355031490325928"
"285000","2.045100212097168","2.045100212097168","2.045100212097168"
"286500","2.027636766433716","2.027636766433716","2.027636766433716"
"288000","2.025242805480957","2.025242805480957","2.025242805480957"
"289500","2.055911064147949","2.055911064147949","2.055911064147949"
"291000","2.046358585357666","2.046358585357666","2.046358585357666"
"292500","1.996067762374878","1.996067762374878","1.996067762374878"
"294000","2.07063627243042","2.07063627243042","2.07063627243042"
"295500","2.030406951904297","2.030406951904297","2.030406951904297"
"297000","2.011378288269043","2.011378288269043","2.011378288269043"
"298500","2.032508611679077","2.032508611679077","2.032508611679077"
"300000","2.0491175651550293","2.0491175651550293","2.0491175651550293"
"301500","2.04123854637146","2.04123854637146","2.04123854637146"
"303000","2.0262043476104736","2.0262043476104736","2.0262043476104736"
"304500","2.0294723510742188","2.0294723510742188","2.0294723510742188"
"306000","2.051392078399658","2.051392078399658","2.051392078399658"
"307500","2.0375194549560547","2.0375194549560547","2.0375194549560547"
"309000","2.0327138900756836","2.0327138900756836","2.0327138900756836"
"310500","2.0437498092651367","2.0437498092651367","2.0437498092651367"
"312000","2.044304132461548","2.044304132461548","2.044304132461548"
"313500","2.036625623703003","2.036625623703003","2.036625623703003"
"315000","2.068340301513672","2.068340301513672","2.068340301513672"
"316500","2.0385582447052","2.0385582447052","2.0385582447052"
"318000","2.0072107315063477","2.0072107315063477","2.0072107315063477"
"319500","2.0750603675842285","2.0750603675842285","2.0750603675842285"
"321000","2.037850856781006","2.037850856781006","2.037850856781006"
"322500","2.0495972633361816","2.0495972633361816","2.0495972633361816"
"324000","2.0913374423980713","2.0913374423980713","2.0913374423980713"
"325500","2.102975368499756","2.102975368499756","2.102975368499756"
"327000","2.0789034366607666","2.0789034366607666","2.0789034366607666"
"328500","2.0280799865722656","2.0280799865722656","2.0280799865722656"
"330000","2.082209348678589","2.082209348678589","2.082209348678589"
"331500","2.0754878520965576","2.0754878520965576","2.0754878520965576"
"333000","2.077897310256958","2.077897310256958","2.077897310256958"
"334500","2.063075542449951","2.063075542449951","2.063075542449951"
"336000","2.0157630443573","2.0157630443573","2.0157630443573"
"337500","2.021958351135254","2.021958351135254","2.021958351135254"
"339000","2.0476276874542236","2.0476276874542236","2.0476276874542236"
"340500","2.0670220851898193","2.0670220851898193","2.0670220851898193"
"342000","2.0132858753204346","2.0132858753204346","2.0132858753204346"
"343500","2.020148277282715","2.020148277282715","2.020148277282715"
"345000","2.0307023525238037","2.0307023525238037","2.0307023525238037"
"346500","2.0484459400177","2.0484459400177","2.0484459400177"
"348000","2.0404558181762695","2.0404558181762695","2.0404558181762695"
"349500","2.047377586364746","2.047377586364746","2.047377586364746"
